,epochs,train_loss,test_loss,train_accuracy,test_accuracy
0,1,0.684488588919019,0.690173981189728,49.7611688676595,49.7474747474748
1,2,0.678461408935855,0.631892354488373,51.531329025007,69.1919191919192
2,3,0.546262001643801,0.504856457710266,76.0887889856701,76.5151515151515
3,4,0.472652560525945,0.431740238666534,80.6125316100028,83.3333333333333
4,5,0.412767407338181,0.401355711221695,82.3826917673504,84.0909090909091
5,6,0.390955091458265,0.382347161769867,83.8999719022197,84.5959595959596
6,7,0.373287800582535,0.370411438941956,84.7991008710312,83.8383838383838
7,8,0.357344933956728,0.35672468662262,85.5858387187412,85.3535353535354
8,9,0.346199649331815,0.336685874462128,86.4006743467266,87.8787878787879
9,10,0.332869344695801,0.326976588964462,87.1593144141613,87.8787878787879
10,11,0.322724126446407,0.32537755548954,87.917954481596,88.8888888888889
11,12,0.314405749798356,0.30924480676651,88.8732790109581,89.8989898989899
12,13,0.307082591770476,0.305477133989334,89.5195279572914,89.3939393939394
13,14,0.302324694435158,0.301828463673592,89.7443101994942,90.1515151515152
14,15,0.295591833612844,0.303682581186295,90.2219724641753,90.1515151515152
15,16,0.28940598419429,0.296812360286713,90.278168024726,90.1515151515152
16,17,0.285464316339236,0.290224173665047,90.8963191907839,91.4141414141414
17,18,0.28013535899699,0.290878081917763,90.9244169710593,90.6565656565657
18,19,0.273182468363522,0.272055995464325,91.5987636976679,92.6767676767677
19,20,0.267416400492459,0.272079297304153,91.8797415004215,92.9292929292929
20,21,0.260800732291333,0.275293965339661,92.0483281820736,90.9090909090909
21,22,0.258132774733642,0.267169948220253,92.5540882270301,91.1616161616162
22,23,0.251036879393552,0.26067486166954,93.1441416128126,91.4141414141414
23,24,0.24932510709816,0.259960942864418,92.9755549311605,92.4242424242424
24,25,0.244542815893755,0.26621712744236,93.3689238550155,91.1616161616162
25,26,0.241882795442915,0.259931375980377,93.649901657769,89.1414141414142
26,27,0.236865507513953,0.254695970416069,94.2399550435516,91.6666666666667
27,28,0.23510314985241,0.252863933444023,93.4251194155662,91.9191919191919
28,29,0.233169034323885,0.247143914103508,94.3804439449283,92.6767676767677
29,30,0.230052645497793,0.24984527349472,94.3242483843776,90.6565656565657
30,31,0.227091981223346,0.247406276464462,94.4085417252037,92.1717171717172
31,32,0.224214782362027,0.239554850459099,94.6895195279573,92.6767676767677
32,33,0.222579681886686,0.245851163268089,94.9143017701602,91.6666666666667
33,34,0.220423917799787,0.241494009494781,95.1671817926384,92.6767676767677
34,35,0.216435833094901,0.241094478368759,95.6167462770441,92.4242424242424
35,36,0.217054784364764,0.236651768684387,95.3357684742905,91.6666666666667
36,37,0.21111620875752,0.242549903392792,95.8696262995223,91.1616161616162
37,38,0.211218655109405,0.23288504242897,95.7291373981456,92.4242424242424
38,39,0.208906372432751,0.237936860918999,96.2067996628266,91.1616161616162
39,40,0.206282454622166,0.237476219534874,96.234897443102,92.4242424242424
40,41,0.206267904005778,0.23677099943161,96.3472885642034,92.4242424242424
41,42,0.202027246489653,0.236176066398621,96.6001685866817,92.6767676767677
42,43,0.200529471507522,0.23318036198616,96.7687552683338,93.4343434343434
43,44,0.20046577164945,0.242919119596481,96.9654397302613,91.1616161616162
44,45,0.19788011206907,0.235436962246895,96.7968530486091,91.1616161616162
45,46,0.194635055057136,0.234772272706032,97.2745153132903,92.1717171717172
46,47,0.194983473206315,0.228820239901543,97.3026130935656,92.6767676767677
47,48,0.192650347146218,0.231775492429733,97.1902219724642,91.9191919191919
48,49,0.19179478788857,0.23073693215847,97.6678842371453,93.4343434343434
49,50,0.188510568419914,0.233685095906258,98.0612531610003,92.1717171717172
50,51,0.189083641420031,0.231098537445068,97.6116886765946,91.6666666666667
51,52,0.18557110622592,0.228280460238457,97.8364709187974,92.1717171717172
52,53,0.18487637185997,0.22891413629055,97.9488620398988,94.1919191919192
53,54,0.182670442312288,0.230122244954109,98.2579376229278,92.9292929292929
54,55,0.183648181001702,0.238602135181427,98.117448721551,92.1717171717172
55,56,0.180963442330938,0.231823691725731,98.0893509412756,91.4141414141414
56,57,0.179179786900768,0.231840039491653,98.3703287440292,92.1717171717172
57,58,0.17686959526464,0.22650189936161,98.5951109862321,92.9292929292929
58,59,0.17638507451979,0.226987729072571,98.5670132059567,92.9292929292929
59,60,0.176488423427659,0.223713832497597,98.3984265243046,93.4343434343434
60,61,0.175278196219906,0.231328641176224,98.6232087665075,91.1616161616162
61,62,0.171858183204326,0.226556640267372,98.7917954481596,92.9292929292929
62,63,0.172942315583272,0.226314706206322,98.8479910087103,92.9292929292929
63,64,0.171823883738218,0.22545919239521,98.8479910087103,93.4343434343434
64,65,0.167644651481389,0.22287561237812,99.21326215229,92.6767676767677
65,66,0.166514913931556,0.223138470053673,99.1289688114639,92.4242424242424
66,67,0.165945784092751,0.22266450047493,99.2413599325653,93.9393939393939
67,68,0.166092995437271,0.227121962308884,99.1570665917392,92.9292929292929
68,69,0.165792232805303,0.224250409007072,99.0165776903625,93.1818181818182
69,70,0.163464679378565,0.219111916422844,99.2694577128407,94.1919191919192
70,71,0.163013270383726,0.222667452096939,99.21326215229,93.1818181818182
